lineup_id,lineup_names,team,games_played,min,off_rating,def_rating,net_rating,ast_pct,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,possessions,season
-204456-1628418-1630167-1630174-1641767-,T. McConnell - T. Bryant - O. Toppin - A. Nesmith - B. Sheppard,IND,12,30.0,94.2,127.9,-33.7,0.636,0.275,0.75,0.471,0.043,0.433,0.488,108.62,0.36,69,2024-25
-202692-1629639-1631107-1631170-1642276-,A. Burks - T. Herro - N. Jović - J. Jaquez Jr. - K. Ware,MIA,5,29.0,122.0,109.7,12.4,0.704,0.357,0.6,0.472,0.169,0.602,0.607,98.94,0.505,59,2024-25
-201143-204001-1628401-1630202-1630573-,A. Horford - K. Porziņģis - D. White - P. Pritchard - S. Hauser,BOS,6,29.0,125.0,110.3,14.7,0.857,0.28,0.833,0.582,0.15,0.62,0.69,97.71,0.591,60,2024-25
-201143-204001-1628369-1628401-1630202-,A. Horford - K. Porziņģis - J. Tatum - D. White - P. Pritchard,BOS,8,29.0,98.3,100.0,-1.7,0.722,0.385,0.656,0.507,0.102,0.395,0.459,94.03,0.551,59,2024-25
-203952-1628389-1629312-1629639-1630558-,A. Wiggins - B. Adebayo - H. Highsmith - T. Herro - D. Mitchell,MIA,8,29.0,112.1,105.0,7.1,0.462,0.174,0.581,0.407,0.138,0.602,0.624,96.65,0.536,58,2024-25
-202709-1630175-1631216-1641724-1641783-,C. Joseph - C. Anthony - C. Houstan - J. Howard - T. da Silva,ORL,9,29.0,104.5,100.0,4.5,0.565,0.405,0.758,0.571,0.197,0.483,0.53,108.26,0.481,66,2024-25
-1627747-1628386-1629636-1629660-1629731-,C. LeVert - J. Allen - D. Garland - T. Jerome - D. Wade,CLE,17,29.0,133.8,97.1,36.8,0.765,0.276,0.742,0.517,0.074,0.658,0.683,113.53,0.655,68,2024-25
-101108-203084-1629640-1631110-1641705-,C. Paul - H. Barnes - K. Johnson - J. Sochan - V. Wembanyama,SAS,7,29.0,116.4,91.9,24.5,0.778,0.424,0.725,0.589,0.164,0.526,0.565,101.15,0.657,61,2024-25
-201942-1627734-1628370-1628989-1631099-,D. DeRozan - D. Sabonis - M. Monk - K. Huerter - K. Murray,SAC,13,29.0,109.5,95.2,14.3,0.615,0.25,0.75,0.5,0.111,0.545,0.572,105.21,0.558,63,2024-25
-1627832-1630578-1631095-1631106-1641708-,F. VanVleet - A. Sengun - J. Smith Jr. - T. Eason - A. Thompson,HOU,13,29.0,112.5,117.7,-5.2,0.593,0.258,0.8,0.471,0.094,0.561,0.586,105.92,0.481,64,2024-25
-1627832-1628415-1630224-1631106-1641708-,F. VanVleet - D. Brooks - J. Green - T. Eason - A. Thompson,HOU,15,29.0,95.4,75.3,20.0,0.45,0.378,0.69,0.544,0.138,0.423,0.485,113.87,0.746,65,2024-25
-1627832-1630224-1630578-1631095-1631106-,F. VanVleet - J. Green - A. Sengun - J. Smith Jr. - T. Eason,HOU,13,29.0,113.1,110.8,2.3,0.571,0.472,0.645,0.552,0.148,0.5,0.515,104.64,0.455,61,2024-25
-203507-1628398-1629018-1629645-1631260-,G. Antetokounmpo - K. Kuzma - G. Trent Jr. - K. Porter Jr. - A. Green,MIL,8,29.0,90.8,100.0,-9.2,0.438,0.129,0.611,0.388,0.138,0.42,0.524,108.06,0.374,65,2024-25
-1627777-1629027-1629611-1630249-1631230-,G. Niang - T. Young - T. Mann - V. Krejčí - D. Barlow,ATL,6,29.0,103.2,129.0,-25.9,0.652,0.412,0.679,0.532,0.175,0.482,0.526,101.87,0.371,63,2024-25
-1628386-1629622-1629631-1629636-1630171-,J. Allen - M. Strus - D. Hunter - D. Garland - I. Okoro,CLE,10,29.0,126.2,90.2,36.1,0.655,0.367,0.788,0.587,0.082,0.603,0.617,102.44,0.672,61,2024-25
-1630548-1641718-1641729-1642268-1642271-,J. Juzang - K. George - B. Sensabaugh - I. Collier - K. Filipowski,UTA,9,29.0,104.5,101.6,3.0,0.826,0.452,0.7,0.556,0.152,0.453,0.495,106.75,0.504,66,2024-25
-1626157-1626166-1628404-1629013-1630540-,K. Towns - C. Payne - J. Hart - L. Shamet - M. McBride,NYK,11,29.0,114.8,85.1,29.7,0.815,0.323,0.8,0.557,0.148,0.553,0.57,107.29,0.606,61,2024-25
-2544-203076-1626156-1630559-1642261-,L. James - A. Davis - D. Russell - A. Reaves - D. Knecht,LAL,9,29.0,122.7,124.1,-1.4,0.667,0.407,0.686,0.565,0.091,0.625,0.629,101.21,0.594,66,2024-25
-2544-1627827-1629029-1629216-1630559-,L. James - D. Finney-Smith - L. Dončić - G. Vincent - A. Reaves,LAL,10,29.0,109.5,146.8,-37.3,0.588,0.207,0.545,0.387,0.095,0.511,0.617,102.38,0.39,63,2024-25
-1628379-1628991-1630217-1630583-1630590-,L. Kennard - J. Jackson Jr. - D. Bane - S. Aldama - S. Pippen Jr.,MEM,13,29.0,97.0,128.6,-31.6,0.636,0.069,0.545,0.323,0.104,0.541,0.585,106.55,0.396,67,2024-25
-201144-1629638-1629675-1630183-1630545-,M. Conley - N. Alexander-Walker - N. Reid - J. McDaniels - T. Shannon Jr.,MIN,6,29.0,106.3,120.0,-13.7,0.778,0.206,0.649,0.437,0.048,0.517,0.524,105.06,0.446,63,2024-25
-201587-201935-1626181-1627826-1629599-,N. Batum - J. Harden - N. Powell - I. Zubac - A. Coffey,LAC,11,29.0,96.5,131.7,-35.2,0.842,0.303,0.464,0.377,0.14,0.45,0.497,98.04,0.343,57,2024-25
-203999-1627750-1629618-1630192-1631128-,N. Jokić - J. Murray - J. Pickett - Z. Nnaji - C. Braun,DEN,7,29.0,145.3,79.7,65.6,0.487,0.433,0.758,0.603,0.016,0.625,0.642,105.57,0.809,64,2024-25
-202331-203954-1626162-1627824-1630178-,P. George - J. Embiid - K. Oubre Jr. - G. Yabusele - T. Maxey,PHI,8,29.0,89.4,100.0,-10.6,0.667,0.172,0.8,0.492,0.212,0.5,0.549,109.08,0.478,66,2024-25
-1628418-1629614-1630167-1630169-1630174-,T. Bryant - A. Nembhard - O. Toppin - T. Haliburton - A. Nesmith,IND,12,29.0,100.0,126.8,-26.8,0.741,0.171,0.636,0.397,0.069,0.533,0.563,117.13,0.437,72,2024-25
-1629634-1630217-1630583-1630590-1642377-,B. Clarke - D. Bane - S. Aldama - S. Pippen Jr. - J. Wells,MEM,10,28.0,114.3,98.4,15.9,0.862,0.31,0.625,0.475,0.127,0.578,0.589,108.7,0.587,63,2024-25
-1627742-1629750-1630526-1630527-1642274-,B. Ingram - J. Green - J. Robinson-Earl - B. Boston Jr. - Y. Missi,NOP,5,28.0,122.4,98.2,24.2,0.68,0.385,0.786,0.593,0.172,0.622,0.638,100.09,0.605,58,2024-25
-201572-203081-203114-203507-1629018-,B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - G. Trent Jr.,MIL,7,28.0,112.1,89.1,23.1,0.609,0.154,0.814,0.565,0.136,0.574,0.643,110.17,0.706,66,2024-25
-1627747-1628386-1629636-1629731-1630241-,C. LeVert - J. Allen - D. Garland - D. Wade - S. Merrill,CLE,9,28.0,119.7,110.3,9.3,0.708,0.379,0.727,0.565,0.148,0.559,0.606,102.55,0.584,61,2024-25
-101108-1630170-1631110-1641705-1642264-,C. Paul - D. Vassell - J. Sochan - V. Wembanyama - S. Castle,SAS,8,28.0,118.0,95.2,22.8,0.889,0.457,0.793,0.609,0.148,0.533,0.547,105.16,0.622,61,2024-25
-1630625-1631133-1631200-1641712-1642270-,D. Banton - J. Walker - K. Murray - R. Rupert - D. Clingan,POR,9,28.0,111.6,105.6,6.0,0.462,0.194,0.657,0.439,0.159,0.548,0.603,118.8,0.47,69,2024-25
-203081-203114-203507-1626171-1631260-,D. Lillard - K. Middleton - G. Antetokounmpo - B. Portis - A. Green,MIL,10,28.0,110.9,93.4,17.5,0.48,0.276,0.714,0.516,0.109,0.559,0.594,107.07,0.6,64,2024-25
-1628378-1629731-1630171-1630241-1630596-,D. Mitchell - D. Wade - I. Okoro - S. Merrill - E. Mobley,CLE,10,28.0,98.3,113.3,-15.1,0.5,0.261,0.625,0.473,0.19,0.548,0.581,100.54,0.442,58,2024-25
